ID,Text,Category,Priority
1,I can't log into WiFi from my tablet. It returns ERR-9999.,Hardware Issue,critical
2,Database keeps crashing on my printer. Code ERR-9999.,Hardware Issue,high
3,Outlook fails to load on my laptop showing ERR42.,Hardware Issue,high
4,"I am unable to access Zoom on my desktop, it shows error ERR42.",Account/Access Issue,high
5,"I am unable to access CRM Portal on my laptop, it shows error 0x80070005.",Service Request,high
6,"I am unable to access Active Directory on my tablet, it shows error ERR-9999.",Network Problem,low
7,Teams fails to load on my server showing AUTH-007.,Service Request,medium
8,Active Directory keeps crashing on my server. Code 0xC004F012.,Hardware Issue,high
9,Salesforce fails to load on my desktop showing 0xC004F012.,Security,high
10,There is a problem with Email on the server. Error: TIMEOUT-22.,Software Bug,critical
11,Salesforce keeps crashing on my printer. Code ERR42.,Service Request,high
12,My laptop stopped working when I tried to use VPN. Error displayed: 0x80070005.,Hardware Issue,high
13,I can't log into Teams from my tablet. It returns TIMEOUT-22.,Other,critical
14,My desktop stopped working when I tried to use Outlook. Error displayed: 0xC004F012.,Hardware Issue,high
15,Teams fails to load on my laptop showing NET-503.,Security,critical
16,My desktop stopped working when I tried to use Teams. Error displayed: 0x80070005.,Hardware Issue,high
17,My printer stopped working when I tried to use Email. Error displayed: NET-503.,Hardware Issue,critical
18,"I am unable to access Email on my mobile, it shows error 0xC004F012.",Hardware Issue,high
19,There is a problem with CRM Portal on the printer. Error: AUTH-007.,Hardware Issue,medium
20,Outlook keeps crashing on my laptop. Code NET-503.,Other,critical
21,My laptop stopped working when I tried to use CRM Portal. Error displayed: 0xC004F012.,Service Request,high
22,Zoom keeps crashing on my laptop. Code FAIL-101.,Software Bug,high
23,My printer stopped working when I tried to use Outlook. Error displayed: ERR-9999.,Security,medium
24,My printer stopped working when I tried to use WiFi. Error displayed: FAIL-101.,Software Bug,high
25,My server stopped working when I tried to use Salesforce. Error displayed: AUTH-007.,Network Problem,medium
26,Outlook keeps crashing on my router. Code ERR42.,Security,medium
27,Zoom fails to load on my server showing TIMEOUT-22.,Network Problem,critical
28,"I am unable to access CRM Portal on my printer, it shows error FAIL-101.",Other,high
29,There is a problem with Outlook on the tablet. Error: ERR-9999.,Security,critical
30,There is a problem with Salesforce on the desktop. Error: FAIL-101.,Security,high
31,My router stopped working when I tried to use Outlook. Error displayed: AUTH-007.,Security,medium
32,There is a problem with WiFi on the printer. Error: TIMEOUT-22.,Hardware Issue,critical
33,I can't log into Zoom from my laptop. It returns 0xC004F012.,Other,high
34,I can't log into Email from my router. It returns AUTH-007.,Software Bug,medium
35,WiFi keeps crashing on my server. Code TIMEOUT-22.,Security,critical
36,Email fails to load on my router showing AUTH-007.,Account/Access Issue,medium
37,Outlook keeps crashing on my printer. Code 0x80070005.,Other,high
38,I can't log into WiFi from my desktop. It returns AUTH-007.,Other,medium
39,"I am unable to access Active Directory on my printer, it shows error FAIL-101.",Account/Access Issue,high
40,Email keeps crashing on my printer. Code NET-503.,Service Request,critical
41,There is a problem with Email on the desktop. Error: 0xC004F012.,Service Request,high
42,I can't log into Salesforce from my mobile. It returns ERR-9999.,Hardware Issue,high
43,My tablet stopped working when I tried to use Active Directory. Error displayed: ERR42.,Network Problem,critical
44,"I am unable to access Outlook on my server, it shows error AUTH-007.",Service Request,medium
45,My printer stopped working when I tried to use Teams. Error displayed: FAIL-101.,Account/Access Issue,high
46,I can't log into WiFi from my laptop. It returns AUTH-007.,Security,medium
47,"I am unable to access Active Directory on my laptop, it shows error NET-503.",Hardware Issue,critical
48,WiFi fails to load on my mobile showing 0xC004F012.,Network Problem,high
49,"I am unable to access Teams on my desktop, it shows error FAIL-101.",Security,high
50,"I am unable to access Email on my printer, it shows error FAIL-101.",Network Problem,high
51,My printer stopped working when I tried to use VPN. Error displayed: 0x80070005.,Hardware Issue,high
52,My desktop stopped working when I tried to use Active Directory. Error displayed: 0x80070005.,Hardware Issue,high
53,There is a problem with CRM Portal on the server. Error: 0xC004F012.,Other,high
54,My desktop stopped working when I tried to use VPN. Error displayed: ERR-9999.,Account/Access Issue,critical
