ID,Text,Category,Priority
2448,Cannot access shared folder - in production,Access,Low
2115,Version mismatch error - urgent fix needed,Software,Medium
2065,Software installation failed - customer complaint,Software,Low
3288,Database replication lagging - in production,Database,Critical
2538,Cannot access shared folder - customer complaint,Access,Low
1669,Cannot connect to VPN - reported by team,Network,Low
2584,Email access denied - urgent fix needed,Access,Critical
3405,Company policy change announcement,Database,Low
1498,Connection refused error - urgent fix needed,Network,High
3481,Please sign the NDA document,Access,Medium
1472,Fan making loud noise - customer complaint,Hardware,High
1247,Laptop not turning on - customer complaint,Hardware,Critical
1924,Unable to access company intranet - customer complaint,Network,Medium
2132,Software license expired - customer complaint,Software,Medium
1671,WiFi keeps disconnecting - for user,Network,Low
1917,Network adapter not detected - urgent fix needed,Network,Low
2415,Application crashes on startup - for user,Software,High
2607,Cannot login to system - reported by team,Access,Medium
1403,Battery not charging - in production,Hardware,Medium
2104,Application crashes on startup - reported by team,Software,High
3073,Database lock detected - reported by team,Database,Critical
1720,DNS resolution failing - reported by team,Network,High
3012,Database connection timeout - in production,Database,Critical
3437,Lunch menu for next week posted,Database,Low
1197,Printer not connecting to network - urgent fix needed,Hardware,Low
1892,Unable to access company intranet - in production,Network,Medium
2265,Application crashes on startup - urgent fix needed,Software,High
2035,Application not responding - customer complaint,Software,Critical
2326,Plugin compatibility issue - in production,Software,Medium
1510,WiFi keeps disconnecting - reported by team,Network,Medium
2428,User account locked - in production,Access,Critical
1195,Printer not connecting to network - customer complaint,Hardware,High
2180,Software license expired - in production,Software,Critical
3033,Database lock detected - for user,Database,Medium
1933,Cannot connect to VPN - for user,Network,High
2125,Error message on opening file - for user,Software,High
2823,Cannot login to system - for user,Access,Low
2367,Application freezing randomly - in production,Software,Medium
2993,Database connection timeout - for user,Database,Medium
2259,Application freezing randomly - for user,Software,Medium
3275,Table corruption detected - reported by team,Database,Medium
2274,Application freezing randomly - customer complaint,Software,Critical
2937,Database replication lagging - reported by team,Database,Medium
2267,Update failed to install - in production,Software,High
1773,WiFi speed very slow - urgent fix needed,Network,Low
2609,Access rights need update - reported by team,Access,Medium
2312,Runtime error in application - customer complaint,Software,Critical
1135,Screen resolution issue - reported by team,Hardware,Medium
2856,Database authentication failed - reported by team,Access,Low
3400,Annual company picnic this Friday,Software,Low
1421,Battery not charging - reported by team,Hardware,High
2756,Database authentication failed - in production,Access,High
1708,WiFi keeps disconnecting - for user,Network,Critical
1094,Keyboard keys not responding - in production,Hardware,Critical
1057,Screen resolution issue - urgent fix needed,Hardware,Low
1219,Fan making loud noise - for user,Hardware,High
2037,Application crashes on startup - customer complaint,Software,High
2294,Application not responding - for user,Software,Critical
2953,Database replication lagging - for user,Database,Medium
2450,Email access denied - customer complaint,Access,High
3360,Connection pool exhausted - in production,Database,Medium
2466,Email access denied - reported by team,Access,High
1299,Fan making loud noise - customer complaint,Hardware,Critical
3178,Database connection timeout - in production,Database,Low
1179,USB port not working - urgent fix needed,Hardware,Medium
2188,Application freezing randomly - reported by team,Software,High
2473,Access rights need update - for user,Access,Low
1189,Laptop not turning on - for user,Hardware,Medium
1573,WiFi speed very slow - reported by team,Network,Medium
1434,Fan making loud noise - reported by team,Hardware,Low
1519,Unable to access company intranet - in production,Network,Critical
3347,Table corruption detected - for user,Database,Critical
3272,Database lock detected - reported by team,Database,High
2085,Update failed to install - customer complaint,Software,Medium
2289,Application crashes on startup - urgent fix needed,Software,Medium
2124,Application crashes on startup - urgent fix needed,Software,Medium
2342,Application freezing randomly - reported by team,Software,Medium
